year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,yield
1972,40.8,50.9,58.7,58.9,66.6,72.4,76.3,75.9,69.4,62,50,41.3,0.66,0.85,0.14,0.81,0.1,0.13,0,0,0.67,1.17,4.33,1.83,1234
1973,44.7,51.6,50.8,60.4,69,75.1,75.5,73.6,69.8,62.2,52.1,46.8,5.49,4.06,2.67,0.21,0.03,0,0,0,0.13,1.87,3.35,3.44,1075
1974,46.3,48.2,54,57,64.8,72.5,76,75,73.3,65.9,52.4,45.2,2.04,0.67,2.76,1.94,0,0.26,0.05,0,0,1.02,0.66,2.02,1469
1975,43.4,49.8,51.5,53.1,66.2,71.1,74,73.4,72.8,61.3,51.1,45.9,0.77,3.61,3.51,1.2,0.01,0.02,0.04,0.14,0.01,1.74,0.33,0.28,883
1976,45.9,51,53.1,56.9,67.2,71.6,75.2,71.5,71.6,65.8,55.3,46.2,0.19,1.25,0.79,1.07,0.01,0.06,0.01,0.15,0.56,0.31,0.66,0.66,1390
1977,43.4,52.4,52.4,62.8,59.9,73.2,75.6,75.4,70.3,65.1,54.6,50.1,0.95,0.82,1.09,0.17,1.24,0,0.01,0,0.38,0.16,1.25,3.09,1511
1978,49.9,51.1,58,56.9,67,70.8,75.7,75.6,70.2,66.3,50.5,41.8,5.34,2.92,4.36,2.35,0.05,0.01,0,0,0.42,0,1.76,0.55,651
1979,45.1,49,54.7,58.4,67.5,72.7,76,73.8,75,64.7,52.4,47.4,4.51,3.69,2.13,0.66,0.07,0,0.05,0,0,1.4,1.35,2.58,1304
1980,48.4,52.9,53,59.1,63.1,67.7,75.6,73.1,70,65.1,54.3,46.4,3.85,3.78,1.27,0.99,0.37,0,0.05,0,0,0.06,0.09,1.25,985
1981,48,52.5,53.3,60.3,66.8,77.7,75.8,74.8,71.8,60.7,55.8,49.2,4.11,0.79,3.21,0.91,0.24,0,0,0,0.03,1.52,3.69,2.19,1250
1982,42,51.2,51.7,56.9,65.9,67.4,73.8,74,69.7,62.8,49.2,45.8,4.19,2.3,5.82,2.33,0.01,0.3,0.01,0,1.26,2.09,4.53,2.51,1020
1983,44,51.9,54.4,55.9,64.9,71.5,73.9,76.5,74.1,66.4,53,50.6,5.65,3.82,6.16,2.64,0.39,0.02,0,0.04,0.96,0.54,4.79,4.04,673
1984,46.5,49.7,57.3,57.9,69.3,71.8,79.3,76,76.1,60.5,51.7,44.6,0.31,1.51,0.87,0.46,0.04,0.07,0.01,0.02,0.03,1.7,3.94,1.54,1550
1985,41.9,50.7,50.8,62.6,64.4,75,77.5,72.8,67.9,62.8,50.2,41.7,0.69,1.04,2.52,0.19,0.01,0.26,0.01,0.02,0.29,0.86,2.81,2.04,1140
1986,50.9,54.1,57.8,59.3,66,71.6,74.7,74.8,66.6,64.4,55.7,46.1,2.18,6.27,4.02,1.04,0.22,0,0.03,0,0.85,0.02,0.08,0.74,601
1987,45,51.2,53.9,63.9,69,72.3,71.3,74.1,71.5,67.2,52.8,46.8,2.13,3.29,2.95,0.15,0.02,0,0,0,0,0.74,1.6,2.64,1580
1988,46.9,52.9,57.3,60.4,63.8,71.3,79.1,75.1,71.8,65.5,54.2,46,2.19,0.41,0.23,1.98,0.54,0.34,0,0,0,0.09,1.62,2.34,1410
1989,43.9,47.7,55.4,62.7,65.5,71.3,76,73.3,69.5,62.8,54,43.1,0.63,1.25,2.87,0.2,0.06,0.2,0,0.08,1.26,1.19,1.07,0.02,1190
1990,47.2,47,55,63.1,65.2,72,77.3,75.8,72.6,66.4,53.7,41.5,2.02,1.79,0.86,0.61,2.3,0,0,0,0.03,0.2,0.33,0.99,1610
1991,47,54.4,50.8,57.6,62.9,69.2,76.7,72.6,74.6,68.3,55.5,46.3,0.26,2.06,5.45,0.45,0.3,0.13,0.02,0.12,0.01,2.04,0.35,1.13,1210
1992,43.5,54.3,57.1,63.5,71.4,71.8,75.4,77.5,72.6,66.8,54.7,45,1.43,5.07,2.05,0.7,0,0.17,0.01,0,0,0.76,0.24,4.27,1370
1993,46.1,50.3,58.3,59.9,66,72.6,75,74.7,71.8,65.6,53.3,44.6,6.04,4.32,3.07,0.45,1.12,0.52,0,0,0,0.4,2.08,1.3,1190
1994,46.3,48.7,56.7,60,64.9,71.9,75.1,75.6,72,63.1,48.7,44.6,1.47,2.98,0.14,1.18,1.47,0,0,0,0.12,0.59,2.21,1.33,1700
1995,51.4,53.2,53.9,58.4,63.3,69.5,75.3,76.4,72.6,66.1,59.4,50.5,7.44,0.4,6.05,1.2,0.88,0.36,0,0,0,0,0.02,4.77,885
